,KÃ¤ltesumme in Grad
1981,-321.3
1982,-115.50000000000001
1983,-188.0
1984,-141.39999999999998
1985,-337.90000000000003
1986,-277.40000000000003
1987,-209.3
1988,7.599999999999991
1989,-44.00000000000001
1990,-86.89999999999999
1991,-213.29999999999998
1992,-193.29999999999998
1993,-53.400000000000006
1994,6.700000000000004
1995,-106.2
1996,-195.59999999999997
1997,-73.49999999999999
1998,-114.1
1999,-181.2
2000,1.300000000000006
2001,-85.7
2002,41.9
2003,-229.0
2004,-116.1
2005,-267.20000000000005
2006,-188.29999999999998
2007,51.1
2008,-39.099999999999994
2009,-171.4
2010,-246.49999999999997
2011,13.600000000000009
2012,-179.49999999999997
2013,-167.20000000000002
2014,84.2
2015,-35.599999999999994
2016,20.2
2017,-146.1
2018,54.7
2019,-32.9
